"Story","Title","Result","Date","Stability","Duration (s)"
"Create Product","Create a comment product with url","SUCCESS","2022-11-08T20:51:10.358496+07:00[Asia/Bangkok]","0.0","4.83"
"Create Product","Assign product with url","SUCCESS","2022-11-08T20:51:15.2138062+07:00[Asia/Bangkok]","0.0","1.37"
"Get index","Get index with valid url","SUCCESS","2022-11-08T20:51:10.3464976+07:00[Asia/Bangkok]","0.0","4.8"
"Login","Login with valid email and password","SUCCESS","2022-11-08T20:51:10.3634968+07:00[Asia/Bangkok]","0.0","4.78"
"Login","Login with invalid email and password","SUCCESS","2022-11-08T20:51:15.1968083+07:00[Asia/Bangkok]","0.0","1.37"
"Login","Login with null email and password","SUCCESS","2022-11-08T20:51:16.5636288+07:00[Asia/Bangkok]","0.0","1.36"
"Login","Login with valid email and invalid password","SUCCESS","2022-11-08T20:51:17.9229992+07:00[Asia/Bangkok]","0.0","1.44"
"Login","Login with invalid email and valid password","SUCCESS","2022-11-08T20:51:19.3652411+07:00[Asia/Bangkok]","0.0","1.31"
"Get Products","Get all products","SUCCESS","2022-11-08T20:51:10.2244998+07:00[Asia/Bangkok]","0.0","6.7"
"Get Products","Get product ratings","SUCCESS","2022-11-08T20:51:16.9230008+07:00[Asia/Bangkok]","0.0","1.41"
"Get Products","Get product comments","SUCCESS","2022-11-08T20:51:18.3292455+07:00[Asia/Bangkok]","0.0","1.63"
"Get user information","Get info products","SUCCESS","2022-11-08T20:51:10.352497+07:00[Asia/Bangkok]","0.0","4.83"
